original_index,img_link,budget_value,revenue_value,lang
4067,https://media.themoviedb.org/t/p/w300_and_h450_face/5GqF6rVjUW6CVTuj7w1A2JE49AF.jpg,57000000.0,147845033.0,English
5910,https://media.themoviedb.org/t/p/w300_and_h450_face/2TajLnUCAWlAgl47qcmg28rAaZf.jpg,,,Japanese
26728,https://media.themoviedb.org/t/p/w300_and_h450_face/rjb4Zrg8JX2JYcemqZvoPzqPRXJ.jpg,,,English
26729,https://media.themoviedb.org/t/p/w300_and_h450_face/yADZUT7cB2buMcGj5wBJ8iceny0.jpg,,,Swedish
5911,https://media.themoviedb.org/t/p/w300_and_h450_face/AvyjEU4VEhAtnOxjC9NaTtiPXlZ.jpg,,,English
16815,https://media.themoviedb.org/t/p/w300_and_h450_face/hXxKJuQnkwFtWvOX161ppbaiaC2.jpg,,,English
5912,https://media.themoviedb.org/t/p/w300_and_h450_face/lUNOBEKNsa3vhRuPE3FDDoUHzOr.jpg,,,English
4068,https://media.themoviedb.org/t/p/w300_and_h450_face/29iKqRGRcNqhrT710ohxVq5WwcE.jpg,,,English
26730,https://media.themoviedb.org/t/p/w300_and_h450_face/tEgkIQ64RIZ18rw9Fk2rCW3Yxm4.jpg,,,Swedish
16816,https://media.themoviedb.org/t/p/w300_and_h450_face/5mznNfhBuABFctEuw2p0NHlEaZ2.jpg,,,English
26731,https://media.themoviedb.org/t/p/w300_and_h450_face/umaPoX3KZZFoFrri6BGan5UlD1f.jpg,,,Swedish
5916,https://media.themoviedb.org/t/p/w300_and_h450_face/tI8YbogKmyul9UXeA01fcZ12mVO.jpg,,,Chinese
4070,https://media.themoviedb.org/t/p/w300_and_h450_face/xWjoiGvFZPXuBi93reGblvDHIax.jpg,13500000.0,794481.0,English
16817,https://media.themoviedb.org/t/p/w300_and_h450_face/xh4hOfgHQOTGWUmt9fcfmtBjHen.jpg,,,Spanish; Castilian
26733,https://media.themoviedb.org/t/p/w300_and_h450_face/9VwP8fMxTVErL4w5SUdPfe6cMCz.jpg,,,Swedish
26732,https://media.themoviedb.org/t/p/w300_and_h450_face/wJULIlPuj0efOXbiZ5Yl0Ru3OcZ.jpg,,,Swedish
4071,https://media.themoviedb.org/t/p/w300_and_h450_face/bRpjzOjse06s4SOpH7ipAsqK0gb.jpg,1900000.0,560943.0,Portuguese
5913,https://media.themoviedb.org/t/p/w300_and_h450_face/lpv86hQftikE2ecb1OPYFFMr98r.jpg,20000000.0,17400000.0,English
